Station ID, Station Capacity, Time of Day, Time Inverval (mins), Long Run Average (expected bikes available at end of period)
6140.05, 50, morning, 5, 45.91503017398864
6140.05, 50, evening, 5, 7.460915458050279
5980.07, 66, morning, 5, 63.12011185163921
5980.07, 66, evening, 5, 7.201995306108455
5329.03, 31, morning, 5, 12.645466796712407
5329.03, 31, evening, 5, 11.994969465734254
6140.05, 50, morning, 10, 45.86839121432903
6140.05, 50, evening, 10, 8.201706849998239
5980.07, 66, morning, 10, 62.481114099356674
5980.07, 66, evening, 10, 7.579549284116583
5329.03, 31, morning, 10, 12.309103727187459
5329.03, 31, evening, 10, 12.256995305211836
