,Stationary Distribution
0,0.0376006088709356
1,0.04531390748033859
2,0.04842252753219394
3,0.04949394745343559
4,0.04860834547382621
5,0.04711057426947647
6,0.04514832259142796
7,0.0432649100406149
8,0.041613638876631324
9,0.039906255484973466
10,0.03827453607407752
11,0.03671805598132644
12,0.03522313867559791
13,0.033789247257527424
14,0.03241218762889696
15,0.03109161240717429
16,0.02982538120525209
17,0.02861049901869285
18,0.027445121704710466
19,0.026326867360013096
20,0.025254085889110545
21,0.024224764865884454
22,0.02323970784273037
23,0.022293779735035196
24,0.02138026551580215
25,0.020460271928324242
26,0.019515335826445247
27,0.018605011672422383
28,0.017578493066599345
29,0.016444104127846533
30,0.014082615837645323
31,0.010721878305030451
