,Stationary Distribution
0,0.06849652146986279
1,0.07634384372465144
2,0.08169559263644743
3,0.07932506787946533
4,0.07627212065540469
5,0.07137703576179817
6,0.06494247672908983
7,0.05833354176358008
8,0.05267747568146392
9,0.04632046414828417
10,0.04096275557308161
11,0.03587031697461788
12,0.03142526417215241
13,0.027479820471937817
14,0.02402199115150953
15,0.020995128580364297
16,0.018345708095785607
17,0.016020839689974305
18,0.0139973918417263
19,0.01222382079142836
20,0.010675926240864074
21,0.009324626275557635
22,0.008144024069413386
23,0.007112925722865289
24,0.006212548895492361
25,0.005425992334548545
26,0.004739129879865396
27,0.004139133184884821
28,0.0036151394667685213
29,0.0031574799137228642
30,0.0027577361892684223
31,0.00240862407648495
32,0.0021037182688378193
33,0.0018373881943933076
34,0.0016048010565566043
35,0.001401673835699056
36,0.0012239292842593456
37,0.001069136554497441
38,0.0009340475199647782
39,0.0008147545640683675
40,0.0007114517685387258
41,0.0006213586899117603
42,0.0005415752176190659
43,0.0004718504354696545
44,0.0004102160783764821
45,0.00035424264040893015
46,0.00030081426958048114
47,0.00025318826341751664
48,0.00020841161923829295
49,0.0001685568034426408
50,0.00012842089335938535
